T0;T1;T2;T3;I0;I1;I2;I3;M0;M1;M2;M3;R0;R1;R2;R3;P0;P1;P2;P3;thumbDistance;indexDistance;middleDistance;ringDistance;pinkyDistance;distance1;distance2;pose
0,2216297;-0,9111115;-0,3451865;-0,04003316;0,4157766;-0,4719003;-0,6504918;0,4257941;0,4426733;-0,4171234;-0,5972648;0,5228036;0,4762855;-0,3394539;-0,6230333;0,5193777;0,5256826;-0,24244;-0,5028688;0,641875;0,1132826;0,1361766;0,1422655;0,1334404;0,1188121;0,1178664;0,1877225;go
0,2207217;-0,9103311;-0,3475382;-0,04238835;0,4196678;-0,4703601;-0,6505002;0,4236629;0,4451102;-0,4172811;-0,5972691;0,5205988;0,4790665;-0,3391868;-0,623268;0,5167057;0,5276147;-0,2445057;-0,5021893;0,6400359;0,1144354;0,137543;0,1437205;0,1348036;0,1199731;0,119246;0,1896407;go
0,2202026;-0,9118181;-0,3441954;-0,0403491;0,4149312;-0,4738022;-0,6469012;0,4299565;0,43967;-0,4215688;-0,5921544;0,5275637;0,475123;-0,3427881;-0,6193914;0,5225982;0,524722;-0,2444696;-0,5020607;0,6425239;0,113663;0,1365425;0,1426871;0,1338469;0,1191262;0,118747;0,1883815;go
0,222221;-0,9108965;-0,3452497;-0,0410898;0,4133384;-0,4747914;-0,6466477;0,43078;0,4416662;-0,4204953;-0,5938275;0,5248656;0,4770843;-0,3413939;-0,6209196;0,5199038;0,5262248;-0,2443625;-0,503001;0,6405972;0,1132167;0,1361279;0,1422681;0,1334459;0,1187391;0,1179234;0,1873748;go
0,2183365;-0,9140815;-0,3389843;-0,04329109;0,4119839;-0,4792631;-0,6447634;0,4299498;0,4384178;-0,4254726;-0,5928339;0,5247009;0,4741089;-0,3462639;-0,6208171;0,519527;0,5220678;-0,2498262;-0,5021771;0,6425345;0,1130113;0,1357931;0,1419283;0,1331195;0,1184616;0,1179082;0,1870306;go
0,2196603;-0,9136335;-0,3393924;-0,04284945;0,4122523;-0,4771438;-0,6453181;0,4312153;0,4420233;-0,4200049;-0,5958893;0,5226161;0,4768574;-0,3397532;-0,6247295;0,5166121;0,5237644;-0,2438754;-0,5053163;0,6409767;0,1134364;0,1363162;0,1424897;0,1336764;0,1190203;0,1182804;0,1874637;go
0,2195878;-0,9126062;-0,3424349;-0,04086387;0,4101301;-0,4764616;-0,6450474;0,4343864;0,4416791;-0,4187794;-0,5950539;0,5248376;0,4775753;-0,3378419;-0,6237634;0,5183668;0,5256225;-0,2398999;-0,5073319;0,6393617;0,1135461;0,1364283;0,142603;0,1337946;0,119128;0,1184941;0,1876217;go
0,2164008;-0,9144222;-0,3399628;-0,03779414;0,4073192;-0,4795799;-0,6435312;0,4358462;0,4396304;-0,4210597;-0,5951039;0,5246764;0,4760134;-0,3395598;-0,6247463;0,5174967;0,5226333;-0,2443421;-0,5056416;0,6414658;0,1137505;0,1366571;0,1428674;0,1340409;0,1193172;0,1189317;0,1883064;go
0,2190784;-0,9144439;-0,3387626;-0,03220391;0,4068355;-0,4793149;-0,6435668;0,4365363;0,4389206;-0,4208982;-0,5952126;0,5252766;0,4751061;-0,3395745;-0,624775;0,5182855;0,5214781;-0,2440801;-0,5068009;0,6415906;0,1127252;0,1356404;0,1418035;0,1330373;0,1184092;0,1173349;0,1864155;go
0,2213243;-0,9145672;-0,3366308;-0,03553212;0,4085841;-0,480701;-0,6426511;0,4347245;0,4398165;-0,4226372;-0,5944148;0,5240327;0,4746918;-0,3435213;-0,6216267;0,5198476;0,5213604;-0,2483633;-0,5021546;0,6436926;0,1122542;0,1351119;0,1412476;0,1325136;0,1179264;0,1166769;0,1857029;go
