T0;T1;T2;T3;I0;I1;I2;I3;M0;M1;M2;M3;R0;R1;R2;R3;P0;P1;P2;P3;thumbDistance;indexDistance;middleDistance;ringDistance;pinkyDistance;distance1;distance2;pose
0,5633602;-0,3296303;-0,501572;-0,5677984;-0,2533377;0,4615136;0,0868243;-0,8457463;-0,2490478;0,5191006;0,07048583;-0,8145806;-0,3793237;0,5037299;0,01290649;-0,7760175;-0,4492823;0,5065653;-0,07169449;-0,7323914;0,09437337;0,04769841;0,03749414;0,03254784;0,03528959;0,05741258;0,07028589;stop
0,5633602;-0,3296303;-0,501572;-0,5677984;-0,2533377;0,4615136;0,0868243;-0,8457463;-0,2490478;0,5191006;0,07048583;-0,8145806;-0,3793237;0,5037299;0,01290649;-0,7760175;-0,4492823;0,5065653;-0,07169449;-0,7323914;0,09437337;0,04769841;0,03749414;0,03254784;0,03528959;0,05741258;0,07028589;stop
0,5917349;-0,3546347;-0,4841192;-0,5382499;-0,1854542;0,4563278;0,04113477;-0,8692985;-0,200301;0,5120931;0,04389125;-0,8340948;-0,3332791;0,4941541;-0,006535113;-0,8029284;-0,4059486;0,4938763;-0,08706483;-0,7640105;0,0934133;0,04831311;0,03709191;0,03197451;0,03459324;0,05570387;0,0703656;stop
0,6147791;-0,3758664;-0,4691922;-0,5105195;-0,1275278;0,4475802;0,002071738;-0,8851014;-0,1577419;0,5042508;0,02093011;-0,8487701;-0,2926086;0,4845112;-0,02343115;-0,8240632;-0,3673295;0,4816742;-0,1005319;-0,7892733;0,09264303;0,04888865;0,03678379;0,03152786;0,03405883;0,05429628;0,07052832;stop
0,6314005;-0,392431;-0,4578432;-0,4875563;-0,08419712;0,4382662;-0,02620456;-0,8945093;-0,1246288;0,4970568;0,003357291;-0,8587148;-0,2606282;0,4761931;-0,03663218;-0,8390299;-0,3367085;0,471491;-0,1115349;-0,807393;0,09211553;0,04930742;0,03657958;0,03123731;0,03373405;0,05333828;0,0706571;stop
0,6434172;-0,4055092;-0,4491802;-0,4688432;-0,05183597;0,4297919;-0,04639328;-0,9002443;-0,0989168;0,4908293;-0,01005369;-0,8655641;-0,2355911;0,4692361;-0,04694426;-0,8497709;-0,3126088;0,4631319;-0,1205126;-0,8205251;0,09176118;0,0495939;0,03644495;0,0310535;0,03354645;0,05270148;0,07073719;stop
0,6712002;-0,4698369;-0,4134763;-0,3972167;0,06222397;0,3968695;-0,1164883;-0,9083244;0,008432318;0,4688593;-0,06913397;-0,8805227;-0,1295318;0,4459339;-0,08628237;-0,8814306;-0,2087194;0,4391805;-0,1609839;-0,8588603;0,09103359;0,05289136;0,03863164;0,03221196;0,03430077;0,04888548;0,0703392;stop
0,6859034;-0,5171399;-0,3844485;-0,3380865;0,1447936;0,3606248;-0,1614972;-0,9071401;0,08930487;0,4421374;-0,1126334;-0,8853547;-0,04830259;0,4200382;-0,1139646;-0,8990257;-0,129314;0,411925;-0,1888838;-0,8819971;0,09051094;0,05487756;0,04029647;0,0330327;0,03489044;0,04658703;0,07007562;stop
0,6731057;-0,5202789;-0,4168888;-0,3200668;0,1088451;0,3387145;-0,09190243;-0,9300426;0,07569763;0,4057556;-0,07760635;-0,9075295;-0,05198804;0,3811733;-0,1010698;-0,9174907;-0,1353136;0,3709248;-0,1750018;-0,901931;0,08933939;0,05136424;0,03817376;0,03288794;0,03525152;0,04826807;0,06878406;stop
0,6603112;-0,5243793;-0,4434965;-0,3038526;0,08814945;0,3148194;-0,04608801;-0,9439249;0,06835438;0,3734235;-0,05060911;-0,9237539;-0,05303801;0,3475112;-0,09183741;-0,9316591;-0,1382487;0,3357352;-0,1645024;-0,9171196;0,0884401;0,04923097;0,03651956;0,03280181;0,03550776;0,04924223;0,06798133;stop
